id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
515001,Jojo Rabbit,"Comedy,War,Drama",en,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",34.557,2019-10-18,8.1,7588
280,Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",en,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",67.385,1991-07-03,8.1,10522
482321,Ron's Gone Wrong,"Animation,Science Fiction,Family,Comedy",en,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",224.167,2021-10-15,8.1,1335
522518,A Dog's Journey,"Family,Adventure,Drama",en,A dog finds the meaning of his own existence through the lives of the humans he meets.,61.029,2019-05-03,8.1,1130
339877,Loving Vincent,"Animation,Drama,Mystery,History",en,A young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,15.079,2017-06-22,8.1,2095
10681,WALL·E,"Animation,Family,Science Fiction",en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",91.446,2008-06-22,8.1,15924
381284,Hidden Figures,"Drama,History",en,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",147.925,2016-12-10,8.1,7959
146233,Prisoners,"Drama,Thriller,Crime",en,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",43.621,2013-09-18,8.1,9409
522402,Finch,"Science Fiction,Drama,Adventure",en,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",194.632,2021-11-04,8.1,2433
264644,Room,"Drama,Thriller",en,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",25.256,2015-10-16,8.1,8079
120467,The Grand Budapest Hotel,"Comedy,Drama",en,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",24.37,2014-02-26,8.1,12464
438695,Sing 2,"Animation,Comedy,Family,Music",en,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",545.619,2021-12-01,8.1,2986
